"","RELIABILITY_TXT","SAMPLING_METHOD_DESC","RECORD_TYPE","Point","Point_Distance","Line","Line_Distance","forest","public_land","ridge","vicgov_region","75m_dem_streams_burned_sept2012.tif","Anisotrophic_Heating_Ruggedbess.tif","ecoregion1750.tif","ecoregion2014.tif","ibra_hex.tif","land_cov_use3.tif","log_vertical_distance_saline_wetlands_sept2012.tif","ProtectionIndex.tif","Radiometrics_2014_k.tif","Radiometrics_2014_th.tif","sept2014JanMaxTemp.tif","sept2014JanRainfall.tif","sept2014JulMinTemp.tif","sept2014JulRainfall.tif","vegtpye3_4.tif","wetness_index_saga_sept2012.tif"
"1","high reliability","Elliott trap","Captured and released","place",2149.49733,"road",0.003970446,"Y","N","N","Y",191.800003051758,0.215100005269051,45,136,118,19,2.28559994697571,0.0299999993294477,0,1.76559710502625,252.571792602539,16.5268001556396,91.7275009155273,74.0703964233398,6,13.292200088501
"2","high reliability","Elliott trap","Captured and released","mountain",1538.371115,"road",0.002777363,"Y","N","N","Y",179.199996948242,0.504100024700165,45,136,118,20,2.25629997253418,0.0324000008404255,0,1.76559710502625,253.360702514648,15.8145999908447,92.1883010864258,72.0103988647461,6,13.9223003387451
"3","high reliability","Elliott trap","Captured and released","mountain",1538.371115,"road",0.002777363,"Y","N","N","Y",179.199996948242,0.504100024700165,45,136,118,20,2.25629997253418,0.0324000008404255,0,1.76559710502625,253.360702514648,15.8145999908447,92.1883010864258,72.0103988647461,6,13.9223003387451
"4","high reliability","General observations","Captured and released","mountain",3346.015869,"road",0.017362592,"Y","Y","Y","N",484.200012207031,-4.79530000686646,53,6,100,3,2.42910003662109,0.0772999972105026,0.436170160770416,14.1722545623779,292.959014892578,1.34510004520416,63.7431983947754,38.6006011962891,3,10.5415000915527
"5","high reliability","Elliott trap","Captured and released","place",3566.907169,"watercourse_stream",7.26e-05,"Y","Y","N","Y",80.4000015258789,0.0249000005424023,17,92,106,17,1.80250000953674,0.0157999992370606,0.56060653924942,10.0280809402466,301.486907958984,18.7458000183106,85.4654998779297,43.9492988586426,112,16.7465000152588
"6","high reliability","Elliott trap","Captured and released","place",3566.907169,"watercourse_stream",7.26e-05,"Y","Y","N","Y",80.4000015258789,0.0249000005424023,17,92,106,17,1.80250000953674,0.0157999992370606,0.56060653924942,10.0280809402466,301.486907958984,18.7458000183106,85.4654998779297,43.9492988586426,112,16.7465000152588
"7","high reliability","Cage trap","Captured and released","place",2154.248686,"road",0.000922869,"Y","N","N","Y",161.199996948242,0.936800003051758,40,30,124,12,2.18790006637573,0.0593999996781349,0.220982477068901,9.39584064483643,284.329193115234,25.8278007507324,77.848503112793,51.2639999389648,12,13.78600025177
"8","high reliability","General observations","Observation","place",5863.505116,"road",0.00069661,"Y","N","N","N",331.200012207031,0.0212999992072582,40,30,102,112,2.47320008277893,0.063900001347065,1.0025931596756,9.58564281463623,294.272399902344,15.6180000305176,73.0670013427734,45.8140983581543,112,17.5592002868652
"9","high reliability","Elliott trap","Captured and released","place",15130.87342,"watercourse_river",0.021600768,"Y","Y","Y","N",1355.19995117188,-0.556100010871887,25,125,111,11,3.12529993057251,0.00650000013411045,1.76043093204498,13.0464878082275,224.748504638672,50.0318984985352,20.5412006378174,172.134201049805,11,11.3526000976563
"10","high reliability","General observations","Observation","place",5863.505116,"road",0.00069661,"Y","N","N","N",331.200012207031,0.0212999992072582,40,30,102,112,2.47320008277893,0.063900001347065,1.0025931596756,9.58564281463623,294.272399902344,15.6180000305176,73.0670013427734,45.8140983581543,112,17.5592002868652
"11","high reliability","Cage trap","Captured and released","mountain",3559.345261,"road",1.68e-05,"Y","Y","N","N",1532,0.549199998378754,25,125,138,11,3.17820000648498,0.0291000008583069,0.863496124744415,9.77088069915772,216.108993530273,60.5449981689453,17.7362003326416,209.096298217773,11,11.9070997238159
"12","high reliability","Cage trap","Captured and released","mountain",3593.035343,"road",0.001456473,"Y","Y","Y","N",450.600006103516,-4.07810020446777,53,6,139,6,2.42440009117126,0.142800003290176,0.230291098356247,6.66915273666382,289.172485351562,6.53450012207031,59.3672981262207,59.0211982727051,6,13.4750003814697
"13","high reliability","Cage trap","Captured and released","mountain",5436.141863,"road",0.0019084,"Y","Y","N","Y",460.399993896484,0.0759999975562096,63,65,124,7,2.65179991722107,0.110399998724461,0.623567342758179,11.8027954101563,265.62451171875,39.3992004394531,64.7023010253906,92.2647018432617,7,15.4245004653931
"14","high reliability","Elliott trap","Captured and released","place",7218.655682,"watercourse_river",0.000996487,"Y","Y","Y","N",546.200012207031,-0.0176999997347593,19,100,107,16,2.66219997406006,0.0153999999165535,0.27770608663559,10.2445116043091,273.550598144531,10.0776996612549,58.4034004211426,33.7700004577637,103,15.7791004180908
"15","high reliability","Elliott trap","Captured and released","rail_station",3396.956748,"watercourse_river",0.023135931,"Y","Y","Y","N",745.599975585938,0.747699975967407,19,100,114,12,2.81640005111694,0.0278999991714954,0.747318506240845,9.96933650970459,261.728210449219,19.3845996856689,48.1791000366211,91.2923965454102,12,11.6652002334595
"16","high reliability","Elliott trap","Captured and released","place",13472.51138,"watercourse_stream",0.006086117,"Y","Y","N","Y",120,-0.274300009012222,40,30,122,113,2.07949995994568,0.0690999999642372,0,1.76559710502625,263.186706542969,22.7695007324219,68.0796966552734,27.9986991882324,113,14.3041000366211
"17","high reliability","Elliott trap","Captured and released","place",3761.301749,"watercourse_stream",0.0096048,"Y","Y","N","Y",106,0.0428999997675419,16,95,129,6,2.02589988708496,0.00920000020414591,0,1.76559710502625,265.453308105469,23.3561000823975,76.7788009643555,40.1876983642578,6,15.0165996551514
"18","high reliability","Elliott trap","Captured and released","place",8853.596351,"watercourse_stream",0.01358263,"N","N","N","Y",57.4000015258789,0.0136000001803041,57,145,128,6,1.76670002937317,0.0260000005364418,0.291213870048523,0.99583101272583,267.812408447266,20.9300994873047,90.0526962280273,69.8715972900391,6,16.0172996520996
"19","high reliability","Elliott trap","Captured and released","place",8853.596351,"watercourse_stream",0.01358263,"N","N","N","Y",57.4000015258789,0.0136000001803041,57,145,128,6,1.76670002937317,0.0260000005364418,0.291213870048523,0.99583101272583,267.812408447266,20.9300994873047,90.0526962280273,69.8715972900391,6,16.0172996520996
"20","high reliability","Hair tube","Identified from hair or scats","place",4038.991235,"road",0.000147291,"Y","Y","N","N",-1,0,84,170,141,-99,0,0,0,1.76559710502625,263.103302001953,11.2786998748779,94.0641021728516,68.8983993530273,-99,19.4659996032715
"21","high reliability","Elliott trap","Captured and released","peninsula",6534.544801,"coast",0.004629788,"Y","Y","N","N",-1,0,84,170,141,-99,0,0,0,0,250.998596191406,19.0013999938965,98.9985961914062,86.0017013549805,-99,19.4659996032715
"22","high reliability","Hair tube","Identified from hair or scats","mountain",7670.901119,"road",0.000518448,"Y","Y","N","Y",220.600006103516,0.106600001454353,40,30,124,6,2.32629990577698,0.0564999990165234,0.265002220869064,11.81565284729,275.741394042969,39.9023017883301,64.7115020751953,74.8863983154297,6,11.1396999359131
"23","high reliability","Scat census","Identified from hair or scats","rail_station",6266.919442,"road",0.004514907,"N","N","N","Y",69.8000030517578,0.589600026607513,62,98,124,16,1.80879998207092,0.0357000008225441,0.0999117940664291,7.81361865997315,284.227294921875,24.7119998931885,74.4044036865234,46.7761001586914,12,13.0791997909546
"24","high reliability","Elliott trap Large","Captured and released","mountain",6848.451684,"watercourse_stream",0.012584105,"Y","Y","N","N",471.399993896484,0.302799999713898,19,100,80,12,2.56599998474121,0.031199999153614,1.16570174694061,13.538875579834,289.7744140625,2.37890005111694,56.8429985046387,53.2368011474609,12,14.8664999008179
"25","high reliability","General observations","Seen","place",5543.274882,"road",0.000405034,"Y","Y","N","Y",110.599998474121,-0.638000011444092,45,136,118,16,2.04629993438721,0.0623000003397465,0,1.76559710502625,255.910202026367,12.0965003967285,96.8867034912109,68.314697265625,6,12.9750003814697
"26","high reliability","General observations","Seen","place",5543.274882,"road",0.000405034,"Y","Y","N","Y",110.599998474121,-0.638000011444092,45,136,118,16,2.04629993438721,0.0623000003397465,0,1.76559710502625,255.910202026367,12.0965003967285,96.8867034912109,68.314697265625,6,12.9750003814697
"27","high reliability","Faunatech hair tubes(bait type in X)","Identified from hair or scats","place",5145.323034,"road",0.009147189,"Y","Y","N","N",-1,0,84,170,141,-99,0,0,0,1.76559710502625,262.673309326172,6.32670021057129,89.6733016967773,43.3266983032227,-99,19.4659996032715
"28","high reliability","Elliott trap","Captured and released","mountain",5025.931187,"watercourse_stream",0.010198635,"Y","Y","N","N",507.200012207031,-1.02439999580383,53,6,80,12,2.60879993438721,0.063900001347065,0.531544268131256,10.5585346221924,286.301910400391,3.27349996566772,56.7061996459961,59.6698989868164,12,12.3535995483398
"29","high reliability","Incidental","Seen","mountain",7683.359734,"road",0.016047076,"Y","Y","Y","N",874.599975585937,-7.03389978408814,66,109,88,7,2.9316999912262,0.125200003385544,1.69708788394928,14.4426670074463,268.928985595703,33.779899597168,37.4691009521484,139.625503540039,7,11.009599685669
"30","high reliability","Large hair tubes","Identified from hair or scats","place",7855.719581,"watercourse_river",0.007071615,"Y","Y","N","Y",193,-0.0878000035881996,47,31,99,106,2.2885000705719,0.0816000029444695,0,1.76559710502625,277.483093261719,51.5836982727051,59.5609016418457,63.6295013427734,106,14.4675998687744
"31","high reliability","Small hair tubes","Identified from hair or scats","place",7855.719581,"watercourse_river",0.007071615,"Y","Y","N","Y",193,-0.0878000035881996,47,31,99,106,2.2885000705719,0.0816000029444695,0,1.76559710502625,277.483093261719,51.5836982727051,59.5609016418457,63.6295013427734,106,14.4675998687744
"32","high reliability","Small hair tubes","Identified from hair or scats","mountain",6314.062656,"road",0.000430435,"Y","Y","N","Y",406.600006103516,4.55019998550415,63,65,115,106,2.60859990119934,0.195500001311302,1.46702027320862,2.74897503852844,271.601287841797,43.6323013305664,42.9165000915527,59.6697998046875,106,12.8835000991821
"33","high reliability","Elliott trap","Captured and released","mountain",10725.30931,"watercourse_stream",0.00940733,"Y","Y","N","Y",110.599998474121,0.323399990797043,21,68,99,6,2.04629993438721,0.0463000014424324,0,1.76559710502625,262.483093261719,43.3638000488281,76.0218963623047,58.4875984191895,6,14.942099571228
"34","high reliability","Elliott trap","Captured and released","mountain",10725.30931,"watercourse_stream",0.00940733,"Y","Y","N","Y",110.599998474121,0.323399990797043,21,68,99,6,2.04629993438721,0.0463000014424324,0,1.76559710502625,262.483093261719,43.3638000488281,76.0218963623047,58.4875984191895,6,14.942099571228
"35","high reliability","Elliott trap","Captured and released","mountain",6540.094056,"watercourse_river",0.025328624,"Y","Y","N","Y",137.199996948242,0.172800004482269,22,71,99,6,2.13870000839233,0.0217000003904104,0,1.76559710502625,262.772094726562,43.5690994262695,75.0710983276367,57.736198425293,6,14.87619972229
"36","high reliability","Elliott trap","Captured and released","mountain",6540.094056,"watercourse_river",0.025328624,"Y","Y","N","Y",137.199996948242,0.172800004482269,22,71,99,6,2.13870000839233,0.0217000003904104,0,1.76559710502625,262.772094726562,43.5690994262695,75.0710983276367,57.736198425293,6,14.87619972229
"37","high reliability","Elliott trap","Captured and released","mountain",15261.11229,"watercourse_river",0.018991148,"Y","Y","N","Y",1031.40002441406,-1.39730000495911,58,127,87,7,3.01270008087158,0.0790000036358833,0.977117717266083,9.44318008422852,235.022598266602,93.6958999633789,13.6246995925903,125.40599822998,7,12.5569000244141
"38","high reliability","Elliott trap","Captured and released","mountain",15261.11229,"watercourse_river",0.018991148,"Y","Y","N","Y",1031.40002441406,-1.39730000495911,58,127,87,7,3.01270008087158,0.0790000036358833,0.977117717266083,9.44318008422852,235.022598266602,93.6958999633789,13.6246995925903,125.40599822998,7,12.5569000244141
"39","high reliability","Elliott trap","Captured and released","mountain",15261.11229,"watercourse_river",0.018991148,"Y","Y","N","Y",1031.40002441406,-1.39730000495911,58,127,87,7,3.01270008087158,0.0790000036358833,0.977117717266083,9.44318008422852,235.022598266602,93.6958999633789,13.6246995925903,125.40599822998,7,12.5569000244141
"40","high reliability","Elliott trap","Captured and released","place",15634.39493,"watercourse_stream",0.003849957,"Y","Y","N","Y",1072.19995117188,-2.00069999694824,68,73,87,7,3.02940011024475,0.0593000017106533,1.48274683952332,12.5686016082764,237.154403686523,79.8597030639648,12.019700050354,103.079803466797,7,11.5297002792358
"41","high reliability","Elliott trap","Captured and released","place",16262.71719,"road",0.001236589,"Y","Y","N","Y",1052.59997558594,0.27140000462532,68,73,87,107,3.021399974823,0.0604999996721744,1.62663185596466,12.3402671813965,241.61149597168,73.1231994628906,16.4137992858887,94.5964965820312,107,15.2517004013062
"42","high reliability","Elliott trap","Captured and released","place",5463.921877,"road",0.007273013,"Y","Y","N","Y",299.600006103516,0.491800010204315,63,65,108,6,2.46359992027283,0.121299996972084,0.625853359699249,11.9113750457764,275.801788330078,38.9936981201172,63.070499420166,50.9967002868652,6,13.782600402832
"43","high reliability","Elliott trap","Captured and released","place",5463.921877,"road",0.007273013,"Y","Y","N","Y",299.600006103516,0.491800010204315,63,65,108,6,2.46359992027283,0.121299996972084,0.625853359699249,11.9113750457764,275.801788330078,38.9936981201172,63.070499420166,50.9967002868652,6,13.782600402832
"44","high reliability","Elliott trap","Captured and released","rail_station",4014.773653,"road",0.00012686,"Y","Y","N","Y",444.200012207031,0.977199971675873,21,68,108,6,2.63919997215271,0.0568999983370304,0.387253254652023,5.23447418212891,267.022888183594,44.7673988342285,63.3096008300781,55.793399810791,6,13.114800453186
"45","high reliability","Elliott trap","Captured and released","rail_station",4014.773653,"road",0.00012686,"Y","Y","N","Y",444.200012207031,0.977199971675873,21,68,108,6,2.63919997215271,0.0568999983370304,0.387253254652023,5.23447418212891,267.022888183594,44.7673988342285,63.3096008300781,55.793399810791,6,13.114800453186
"46","high reliability","Elliott trap","Captured and released","place",4599.582503,"road",0.000799674,"Y","Y","N","Y",316.600006103516,0.132100000977516,62,98,108,6,2.48830008506775,0.0384000018239021,0.388169705867767,10.1850929260254,273.236694335937,41.4039993286133,59.2789993286133,53.9328994750977,6,11.1845998764038
"47","high reliability","Elliott trap","Captured and released","place",4599.582503,"road",0.000799674,"Y","Y","N","Y",316.600006103516,0.132100000977516,62,98,108,6,2.48830008506775,0.0384000018239021,0.388169705867767,10.1850929260254,273.236694335937,41.4039993286133,59.2789993286133,53.9328994750977,6,11.1845998764038
"48","high reliability","Elliott trap","Captured and released","place",6369.729731,"road",0.00568578,"Y","Y","N","Y",70.1999969482422,-0.00279999990016222,16,95,122,6,1.84089994430542,0.00260000000707805,0,1.76559710502625,279.135711669922,26.8663997650146,59.1335983276367,13.8643999099731,6,15.7707004547119
"49","high reliability","Elliott trap","Captured and released","place",6369.729731,"road",0.00568578,"Y","Y","N","Y",70.1999969482422,-0.00279999990016222,16,95,122,6,1.84089994430542,0.00260000000707805,0,1.76559710502625,279.135711669922,26.8663997650146,59.1335983276367,13.8643999099731,6,15.7707004547119
"50","high reliability","Pitfall with drift fence","Captured and released","mountain",6053.297234,"watercourse_stream",0.008034451,"Y","Y","N","Y",1405.40002441406,0.00559999980032444,25,125,133,11,3.14439988136291,0.0172000005841255,0.712370574474335,8.77342033386231,203.767807006836,59.970100402832,24.0331001281738,177.61360168457,11,13.4841995239258
"51","high reliability","Pitfall with drift fence","Captured and released","mountain",6053.297234,"watercourse_stream",0.008034451,"Y","Y","N","Y",1405.40002441406,0.00559999980032444,25,125,133,11,3.14439988136291,0.0172000005841255,0.712370574474335,8.77342033386231,203.767807006836,59.970100402832,24.0331001281738,177.61360168457,11,13.4841995239258
"52","high reliability","Pitfall with drift fence","Captured and released","place",8161.261833,"watercourse_river",0.006290696,"Y","Y","N","Y",376.200012207031,-1.14230000972748,7,105,124,6,2.56150007247925,0.0472000017762184,1.07965230941773,13.4071321487427,268.182006835938,41.8123016357422,55.7561988830566,97.4567031860352,6,11.3776998519897
"53","high reliability","Pitfall with drift fence","Captured and released","place",8161.261833,"watercourse_river",0.006290696,"Y","Y","N","Y",376.200012207031,-1.14230000972748,7,105,124,6,2.56150007247925,0.0472000017762184,1.07965230941773,13.4071321487427,268.182006835938,41.8123016357422,55.7561988830566,97.4567031860352,6,11.3776998519897
"54","high reliability","Cage trap","Captured and released","mountain",2949.284433,"watercourse_river",0.023519302,"Y","Y","Y","N",199,0.00419999985024333,35,121,106,109,2.22329998016357,0.0205000005662441,1.07632803916931,12.0025310516357,300.7919921875,4.26660013198853,79.7333984375,12.2665996551514,109,16.6721992492676
"55","high reliability","Incidental","Observation","mountain",2368.831625,"watercourse_river",0.007221344,"Y","Y","N","Y",281.600006103516,0.402900010347366,62,98,106,12,2.41440010070801,0.0270000007003546,0.933515131473541,7.36662530899048,287.361297607422,27.1144008636475,75.0522003173828,49.9872016906738,12,10.7315998077393
"56","high reliability","Elliott trap","Captured and released","mountain",5056.572315,"watercourse_stream",0.012977782,"Y","Y","Y","N",239.800003051758,0.00389999989420176,64,102,106,16,2.31220006942749,0.0465000011026859,1.15798199176788,11.7897129058838,296.146087646484,5.88619995117188,75.7077026367188,18.5182991027832,3,15.0452995300293
"57","high reliability","Elliott trap","Captured and released","place",2632.836926,"watercourse_stream",0.010004855,"Y","Y","N","N",174,0,17,92,106,114,2.18980002403259,0.00260000000707805,1.31133925914764,13.3484468460083,295.392211914062,15.6412000656128,82.5560989379883,32.3684005737305,114,17.1250991821289
"58","high reliability","Cage trap","Captured and released","place",2632.836926,"watercourse_stream",0.010004855,"Y","Y","N","N",174,0,17,92,106,114,2.18980002403259,0.00260000000707805,1.31133925914764,13.3484468460083,295.392211914062,15.6412000656128,82.5560989379883,32.3684005737305,114,17.1250991821289
"59","high reliability","Spotlighting","Observation","place",5439.509119,"road",0.001376973,"Y","Y","N","Y",97.4000015258789,-0.706099987030029,45,136,118,16,1.99119997024536,0.0465999990701675,0,1.76559710502625,257.80029296875,10.3380002975464,98.1108016967773,63.8008995056152,6,13.8774003982544
"60","high reliability","Faunatech hair tubes(bait type in X)","Identified from hair or scats","mountain",4720.632059,"road",0.010361183,"Y","Y","Y","N",611.400024414063,10.8628997802734,66,109,88,7,2.77250003814697,0.209800004959106,1.80332458019257,15.5076971054077,292.047393798828,24.3759002685547,50.1024017333984,109.861000061035,7,10.6049003601074
"61","high reliability","Faunatech hair tubes(bait type in X)","Identified from hair or scats","mountain",4720.632059,"road",0.010361183,"Y","Y","Y","N",611.400024414063,10.8628997802734,66,109,88,7,2.77250003814697,0.209800004959106,1.80332458019257,15.5076971054077,292.047393798828,24.3759002685547,50.1024017333984,109.861000061035,7,10.6049003601074
"62","high reliability","Faunatech hair tubes(bait type in X)","Identified from hair or scats","mountain",4100.8704,"watercourse_stream",0.009779842,"Y","Y","N","Y",317.200012207031,-4.56580018997192,8,78,103,6,2.48429989814758,0.183200001716614,1.01448965072632,9.50900840759277,302.844787597656,15.3147001266479,56.5331993103027,15.3977003097534,6,15.7861003875732
"63","high reliability","Faunatech hair tubes(bait type in X)","Identified from hair or scats","mountain",4100.8704,"watercourse_stream",0.009779842,"Y","Y","N","Y",317.200012207031,-4.56580018997192,8,78,103,6,2.48429989814758,0.183200001716614,1.01448965072632,9.50900840759277,302.844787597656,15.3147001266479,56.5331993103027,15.3977003097534,6,15.7861003875732
"64","high reliability","Faunatech hair tubes(bait type in X)","Identified from hair or scats","place",10806.02332,"watercourse_stream",0.008542222,"Y","Y","N","Y",780.799987792969,1.57389998435974,8,78,103,7,2.8889000415802,0.178299993276596,0.917541205883026,11.0793514251709,261.233612060547,25.5904006958008,35.4898986816406,25.2479991912842,7,13.8257999420166
"65","high reliability","Elliott trap","Captured and released","mountain",5473.376298,"road",0.001055293,"Y","Y","N","Y",128.199996948242,-0.556800007820129,63,65,99,6,2.10920000076294,0.102099999785423,0,1.76559710502625,271.489410400391,42.673999786377,61.6147003173828,55.3956985473633,6,13.3069000244141
"66","high reliability","Scat census","Identified from hair or scats","mountain",4271.741477,"road",0.01653271,"Y","Y","N","Y",224.800003051758,-0.0860000029206276,62,98,115,6,2.35220003128052,0.0408000014722347,0,1.76559710502625,271.537109375,38.6665992736816,62.0047988891602,53.5555000305176,6,13.5263996124268
"67","high reliability","Pitfall with drift fence","Captured and released","mountain",15808.05299,"watercourse_stream",0.013211092,"Y","Y","N","Y",87.5999984741211,-0.0710999965667725,22,71,99,6,1.94669997692108,0.0368999987840652,0,1.76559710502625,261.156097412109,43.8154983520508,74.1812973022461,58.600700378418,6,13.6079998016357
"68","high reliability","Scat census","Identified from hair or scats","place",7805.885554,"watercourse_stream",0.013811247,"Y","Y","N","Y",83.1999969482422,0.335700005292892,21,68,99,6,1.9190000295639,0.0608000010251999,0,0,265.379302978516,42.4586982727051,82.5257034301758,44.4630012512207,6,14.9202003479004
"69","high reliability","Pitfall with drift fence","Captured and released","place",6791.177637,"watercourse_stream",0.004099629,"Y","Y","N","Y",45.2000007629395,-0.00689999992027879,22,71,134,6,1.74670004844666,0.00920000020414591,0,1.76559710502625,273.558013916016,34.4420013427734,62.8866004943848,34.5606002807617,6,14.9099998474121
"70","high reliability","Pitfall with drift fence","Captured and released","place",6791.177637,"watercourse_stream",0.004099629,"Y","Y","N","Y",45.2000007629395,-0.00689999992027879,22,71,134,6,1.74670004844666,0.00920000020414591,0,1.76559710502625,273.558013916016,34.4420013427734,62.8866004943848,34.5606002807617,6,14.9099998474121
"71","high reliability","Elliott trap","Captured and released","mountain",4495.144158,"watercourse_river",7.88e-05,"Y","Y","N","N",338,0.929300010204315,28,94,136,8,2.49780011177063,0.0452999994158745,1.52096927165985,14.1832551956177,337.046203613281,10.981499671936,59.0023994445801,60.6622009277344,8,13.0668001174927
"72","high reliability","Elliott trap","Captured and released","mountain",10372.71704,"road",0.015285104,"Y","Y","N","Y",87.4000015258789,-0.0210999995470047,45,136,118,16,1.94840002059937,0.0384999997913837,0.0385809130966663,3.62430930137634,268.030487060547,20.1648006439209,83.2802963256836,62.2542991638184,6,15.307900428772
"73","high reliability","Elliott trap","Captured and released","mountain",10372.71704,"road",0.015285104,"Y","Y","N","Y",87.4000015258789,-0.0210999995470047,45,136,118,16,1.94840002059937,0.0384999997913837,0.0385809130966663,3.62430930137634,268.030487060547,20.1648006439209,83.2802963256836,62.2542991638184,6,15.307900428772
"74","high reliability","Elliott trap","Captured and released","airport",2645.58418,"watercourse_river",0.003781705,"Y","Y","N","N",210.399993896484,0.000500000023748726,30,112,139,106,1.65980005264282,0.00150000001303852,0.0933637544512749,2.52894377708435,306.152587890625,-1.15260004997253,68.1526031494141,55.1323013305664,106,16.9431991577148
"75","high reliability","Elliott trap","Captured and released","place",11198.53964,"watercourse_stream",0.000282883,"Y","Y","N","Y",646,0.740599989891052,8,78,103,6,2.80640006065369,0.10249999910593,1.07201516628265,11.2970771789551,271.733489990234,27.7830009460449,42.2994003295898,19.3419990539551,6,12.2814998626709
"76","high reliability","Small hair tubes","Identified from hair or scats","place",11154.32039,"watercourse_stream",0.003553996,"Y","Y","N","N",42.7999992370606,-0.00350000010803342,20,139,127,16,1.43499994277954,0.00510000018402934,0,1.76559710502625,264.692504882812,-0.695999979972839,87.6959991455078,68.3076019287109,106,16.5251007080078
"77","high reliability","Small hair tubes","Identified from hair or scats","place",10270.76983,"road",0.000657094,"Y","Y","N","N",41.5999984741211,-0.000899999984540045,37,140,127,16,1.40359997749329,0.00230000005103648,0,1.76559710502625,269.575897216797,-5.5757999420166,92.575798034668,63.2314987182617,106,16.7577991485596
"78","high reliability","Small hair tubes","Identified from hair or scats","place",7598.413053,"watercourse_river",0.02215207,"Y","Y","N","N",164.800003051758,0.0216000005602837,37,140,127,106,2.10060000419617,0.00879999995231628,0.199407383799553,3.3019106388092,268.744506835937,1.25499999523163,76.7445983886719,65.7490997314453,106,16.7872009277344
"79","high reliability","Small hair tubes","Identified from hair or scats","place",8242.159168,"road",0.008571167,"Y","Y","N","N",132.600006103516,-0.0759999975562096,37,140,125,6,1.98790001869202,0.0223999992012978,0.401816546916962,12.0689296722412,263.655914306641,3.71059989929199,76.6447982788086,67.7105026245117,6,15.9739999771118
"80","high reliability","Small hair tubes","Identified from hair or scats","place",8114.404383,"watercourse_stream",0.021678837,"Y","Y","N","N",91.6735992431641,0.00329999998211861,37,151,125,17,1.75380003452301,0.0238000005483627,0.190782204270363,3.97010588645935,267.455810546875,1.21130001544952,81.7295989990234,62.0511016845703,106,16.7075996398926
"81","high reliability","Small hair tubes","Identified from hair or scats","mountain",2801.582771,"road",0.000162071,"Y","Y","N","N",12.3999996185303,-0.00609999988228083,10,115,125,103,0.269400000572205,0.00719999987632036,0.575030207633972,18.6896800994873,262.013092041016,1.94539999961853,87.0546035766602,63.8908004760742,103,16.5386009216309
"82","high reliability","Small hair tubes","Identified from hair or scats","mountain",3892.752558,"road",9.99e-05,"Y","Y","N","N",78.9462966918945,0.00939999986439943,20,139,125,106,1.84660005569458,0.008500000461936,0,1.76559710502625,258.2080078125,1.79499995708466,85.2050018310547,77.7949981689453,106,16.5410003662109
"83","low reliability","General observations","Captured and released","airport",1813.401812,"road",0.014803851,"Y","Y","N","Y",193.600006103516,0.108999997377396,62,98,124,16,2.27230000495911,0.0182000007480383,1.29323983192444,14.9149255752564,278.186706542969,29.9393005371094,76.5449981689453,53.1702995300293,12,12.0447998046875
"84","high reliability","Camera - Surveillance/Remote","Observation with supporting evidence","place",4798.798181,"road",0.009072356,"Y","Y","N","N",622.799987792969,15.7473001480103,66,109,88,7,2.77999997138977,0.219699993729591,0.919113457202911,9.65512561798096,283.876312255859,32.6203002929687,46.3602981567383,121.747299194336,7,11.1684999465942
"85","high reliability","Camera - Surveillance/Remote","Observation with supporting evidence","mountain",6451.713411,"watercourse_stream",0.010310107,"Y","Y","N","Y",828,10.1822004318237,46,124,88,7,2.90849995613098,0.138799995183945,1.996462225914,16.2474117279053,264.821685791016,43.2742004394531,39.9147987365723,151.240493774414,7,10.1528997421265
"86","high reliability","Camera - Surveillance/Remote","Observation with supporting evidence","peninsula",7071.851675,"road",0.001094775,"Y","Y","N","Y",88.1999969482422,0.160999998450279,22,71,99,6,1.95340001583099,0.0148999998345971,0,1.76559710502625,271.162811279297,43.0220985412598,61.0321998596191,55.4752006530762,6,13.4096002578735
"87","high reliability","Elliott trap","Captured and released","place",2696.022389,"watercourse_river",0.010360653,"Y","Y","N","N",186,0.0359000004827976,37,140,130,6,2.16330003738403,0.0214000009000301,0.155335888266563,4.78465604782105,260.844696044922,13.5302000045776,68.6632995605469,85.1552963256836,6,14.9573001861572
"88","high reliability","Elliott trap","Captured and released","place",9196.64999,"watercourse_river",0.013375825,"Y","Y","N","Y",441.399993896484,0.324600011110306,7,105,124,7,2.63339996337891,0.0641999989748001,0.266691774129868,8.93760395050049,266.652099609375,41.2377014160156,57.4421997070313,94.7841033935547,7,12.5738000869751
"89","high reliability","Elliott trap Large","Captured and released","mountain",6927.434952,"watercourse_stream",0.011587434,"Y","Y","N","N",503.200012207031,0.414600014686585,19,100,80,12,2.60190010070801,0.022299999371171,1.19784724712372,11.7240409851074,286.277709960937,5.10610008239746,54.2495002746582,57.1397018432617,12,12.5536003112793
"90","high reliability","Elliott trap Large","Captured and released","mountain",6927.434952,"watercourse_stream",0.011587434,"Y","Y","N","N",503.200012207031,0.414600014686585,19,100,80,12,2.60190010070801,0.022299999371171,1.19784724712372,11.7240409851074,286.277709960937,5.10610008239746,54.2495002746582,57.1397018432617,12,12.5536003112793
"91","high reliability","Elliott trap Large","Captured and released","mountain",6927.434952,"watercourse_stream",0.011587434,"Y","Y","N","N",503.200012207031,0.414600014686585,19,100,80,12,2.60190010070801,0.022299999371171,1.19784724712372,11.7240409851074,286.277709960937,5.10610008239746,54.2495002746582,57.1397018432617,12,12.5536003112793
